feature,quantile,parameters
feature_v10,12m_1_16,"0,1"
feature_v10,12m_3_18,"0,1"
feature_v10,24m_1_16,"0,1"
feature_v10,24m_3_18,"0,1"
feature_v10,3m_1_16,"0,1"
feature_v10,3m_1_21,"0,1"
feature_v10,3m_1_26,"0,1"
feature_v10,3m_1_31,"0,1"
feature_v10,3m_3_18,"0,1"
feature_v10,3m_3_23,"0,1"
feature_v10,3m_3_28,"0,1"
feature_v10,3m_3_33,"0,1"
feature_v10,6m_1_16,"0,1"
feature_v10,6m_3_18,"0,1"
feature_v11,12m_1_16,"0,1"
feature_v11,12m_3_18,"0,1"
feature_v11,24m_1_16,"0,1"
feature_v11,24m_3_18,"0,1"
feature_v11,3m_1_16,"0,1"
feature_v11,3m_1_21,"0,1"
feature_v11,3m_1_26,"0,1"
feature_v11,3m_1_31,"0,1"
feature_v11,3m_3_18,"0,1"
feature_v11,3m_3_23,"0,1"
feature_v11,3m_3_28,"0,1"
feature_v11,3m_3_33,"0,1"
feature_v11,6m_1_16,"0,1"
feature_v11,6m_3_18,"0,1"
feature_v12,12m_1_16,"0,1"
feature_v12,12m_3_18,"0,1"
feature_v12,24m_1_16,"0,1"
feature_v12,24m_3_18,"0,1"
feature_v12,3m_1_16,"0,1"
feature_v12,3m_1_21,"0,1"
feature_v12,3m_1_26,"0,1"
feature_v12,3m_1_31,"0,1"
feature_v12,3m_3_18,"0,1"
feature_v12,3m_3_23,"0,1"
feature_v12,3m_3_28,"0,1"
feature_v12,3m_3_33,"0,1"
feature_v12,6m_1_16,"0,1"
feature_v12,6m_3_18,"0,1"
feature_v13,12m_1_16,"0,1"
feature_v13,12m_3_18,"0,1"
feature_v13,24m_1_16,"0,1"
feature_v13,24m_3_18,"0,1"
feature_v13,3m_1_16,"0,1"
feature_v13,3m_1_21,"0,1"
feature_v13,3m_1_26,"0,1"
feature_v13,3m_1_31,"0,1"
feature_v13,3m_3_18,"0,1"
feature_v13,3m_3_23,"0,1"
feature_v13,3m_3_28,"0,1"
feature_v13,3m_3_33,"0,1"
feature_v13,6m_1_16,"0,1"
feature_v13,6m_3_18,"0,1"
feature_v14,12m_1_16,"0,1"
feature_v14,12m_3_18,"0,1"
feature_v14,24m_1_16,"0,1"
feature_v14,24m_3_18,"0,1"
feature_v14,3m_1_16,"0,1"
feature_v14,3m_1_21,"0,1"
feature_v14,3m_1_26,"0,1"
feature_v14,3m_1_31,"0,1"
feature_v14,3m_3_18,"0,1"
feature_v14,3m_3_23,"0,1"
feature_v14,3m_3_28,"0,1"
feature_v14,3m_3_33,"0,1"
feature_v14,6m_1_16,"0,1"
feature_v14,6m_3_18,"0,1"
feature_v15,12m_1_16,"0,1"
feature_v15,12m_3_18,"0,1"
feature_v15,24m_1_16,"0,1"
feature_v15,24m_3_18,"0,1"
feature_v15,3m_1_16,"0,1"
feature_v15,3m_1_21,"0,1"
feature_v15,3m_1_26,"0,1"
feature_v15,3m_1_31,"0,1"
feature_v15,3m_3_18,"0,1"
feature_v15,3m_3_23,"0,1"
feature_v15,3m_3_28,"0,1"
feature_v15,3m_3_33,"0,1"
feature_v15,6m_1_16,"0,1"
feature_v15,6m_3_18,"0,1"
feature_v16,12m_1_16,"0,1"
feature_v16,12m_3_18,"0,1"
feature_v16,3m_1_16,"0,1"
feature_v16,3m_1_21,"0,1"
feature_v16,3m_1_26,"0,1"
feature_v16,3m_1_31,"0,1"
feature_v16,3m_3_18,"0,1"
feature_v16,3m_3_23,"0,1"
feature_v16,3m_3_28,"0,1"
feature_v16,3m_3_33,"0,1"
feature_v16,6m_1_16,"0,1"
feature_v16,6m_3_18,"0,1"
feature_v17,12m_1_16,"0,1"
feature_v17,12m_3_18,"0,1"
feature_v17,3m_1_16,"0,1"
feature_v17,3m_1_21,"0,1"
feature_v17,3m_1_26,"0,1"
feature_v17,3m_1_31,"0,1"
feature_v17,3m_3_18,"0,1"
feature_v17,3m_3_23,"0,1"
feature_v17,3m_3_28,"0,1"
feature_v17,3m_3_33,"0,1"
feature_v17,6m_1_16,"0,1"
feature_v17,6m_3_18,"0,1"
feature_v18,12m_1_16,"0,1"
feature_v18,12m_3_18,"0,1"
feature_v18,3m_1_16,"0,1"
feature_v18,3m_1_21,"0,1"
feature_v18,3m_1_26,"0,1"
feature_v18,3m_1_31,"0,1"
feature_v18,3m_3_18,"0,1"
feature_v18,3m_3_23,"0,1"
feature_v18,3m_3_28,"0,1"
feature_v18,3m_3_33,"0,1"
feature_v18,6m_1_16,"0,1"
feature_v18,6m_3_18,"0,1"
feature_v19,12m_1_16,"0,1"
feature_v19,12m_3_18,"0,1"
feature_v19,3m_1_16,"0,1"
feature_v19,3m_1_21,"0,1"
feature_v19,3m_1_26,"0,1"
feature_v19,3m_1_31,"0,1"
feature_v19,3m_3_18,"0,1"
feature_v19,3m_3_23,"0,1"
feature_v19,3m_3_28,"0,1"
feature_v19,3m_3_33,"0,1"
feature_v19,6m_1_16,"0,1"
feature_v19,6m_3_18,"0,1"
feature_v2,12m_1_16,"0,1"
feature_v2,12m_3_18,"0,1"
feature_v2,24m_1_16,"0,1"
feature_v2,24m_3_18,"0,1"
feature_v2,3m_1_16,"0,1"
feature_v2,3m_1_21,"0,1"
feature_v2,3m_1_26,"0,1"
feature_v2,3m_1_31,"0,1"
feature_v2,3m_3_18,"0,1"
feature_v2,3m_3_23,"0,1"
feature_v2,3m_3_28,"0,1"
feature_v2,3m_3_33,"0,1"
feature_v2,6m_1_16,"0,1"
feature_v2,6m_3_18,"0,1"
feature_v20,12m_1_16,"0,1"
feature_v20,12m_3_18,"0,1"
feature_v20,3m_1_16,"0,1"
feature_v20,3m_1_21,"0,1"
feature_v20,3m_1_26,"0,1"
feature_v20,3m_1_31,"0,1"
feature_v20,3m_3_18,"0,1"
feature_v20,3m_3_23,"0,1"
feature_v20,3m_3_28,"0,1"
feature_v20,3m_3_33,"0,1"
feature_v20,6m_1_16,"0,1"
feature_v20,6m_3_18,"0,1"
feature_v21,12m_1_16,"0,1"
feature_v21,12m_3_18,"0,1"
feature_v21,3m_1_16,"0,1"
feature_v21,3m_1_21,"0,1"
feature_v21,3m_1_26,"0,1"
feature_v21,3m_1_31,"0,1"
feature_v21,3m_3_18,"0,1"
feature_v21,3m_3_23,"0,1"
feature_v21,3m_3_28,"0,1"
feature_v21,3m_3_33,"0,1"
feature_v21,6m_1_16,"0,1"
feature_v21,6m_3_18,"0,1"
feature_v22,12m_1_16,"0,1"
feature_v22,12m_3_18,"0,1"
feature_v22,3m_1_16,"0,1"
feature_v22,3m_1_21,"0,1"
feature_v22,3m_1_26,"0,1"
feature_v22,3m_1_31,"0,1"
feature_v22,3m_3_18,"0,1"
feature_v22,3m_3_23,"0,1"
feature_v22,3m_3_28,"0,1"
feature_v22,3m_3_33,"0,1"
feature_v22,6m_1_16,"0,1"
feature_v22,6m_3_18,"0,1"
feature_v3,12m_1_16,"0,1"
feature_v3,12m_3_18,"0,1"
feature_v3,24m_1_16,"0,1"
feature_v3,24m_3_18,"0,1"
feature_v3,3m_1_16,"0,1"
feature_v3,3m_1_21,"0,1"
feature_v3,3m_1_26,"0,1"
feature_v3,3m_1_31,"0,1"
feature_v3,3m_3_18,"0,1"
feature_v3,3m_3_23,"0,1"
feature_v3,3m_3_28,"0,1"
feature_v3,3m_3_33,"0,1"
feature_v3,6m_1_16,"0,1"
feature_v3,6m_3_18,"0,1"
feature_v4,12m_1_16,"0,1"
feature_v4,12m_3_18,"0,1"
feature_v4,24m_1_16,"0,1"
feature_v4,24m_3_18,"0,1"
feature_v4,3m_1_16,"0,1"
feature_v4,3m_1_21,"0,1"
feature_v4,3m_1_26,"0,1"
feature_v4,3m_1_31,"0,1"
feature_v4,3m_3_18,"0,1"
feature_v4,3m_3_23,"0,1"
feature_v4,3m_3_28,"0,1"
feature_v4,3m_3_33,"0,1"
feature_v4,6m_1_16,"0,1"
feature_v4,6m_3_18,"0,1"
feature_v5,12m_1_16,"0,1"
feature_v5,12m_3_18,"0,1"
feature_v5,24m_1_16,"0,1"
feature_v5,24m_3_18,"0,1"
feature_v5,3m_1_16,"0,1"
feature_v5,3m_1_21,"0,1"
feature_v5,3m_1_26,"0,1"
feature_v5,3m_1_31,"0,1"
feature_v5,3m_3_18,"0,1"
feature_v5,3m_3_23,"0,1"
feature_v5,3m_3_28,"0,1"
feature_v5,3m_3_33,"0,1"
feature_v5,6m_1_16,"0,1"
feature_v5,6m_3_18,"0,1"
feature_v6,12m_1_16,"0,1"
feature_v6,12m_3_18,"0,1"
feature_v6,24m_1_16,"0,1"
feature_v6,24m_3_18,"0,1"
feature_v6,3m_1_16,"0,1"
feature_v6,3m_1_21,"0,1"
feature_v6,3m_1_26,"0,1"
feature_v6,3m_1_31,"0,1"
feature_v6,3m_3_18,"0,1"
feature_v6,3m_3_23,"0,1"
feature_v6,3m_3_28,"0,1"
feature_v6,3m_3_33,"0,1"
feature_v6,6m_1_16,"0,1"
feature_v6,6m_3_18,"0,1"
feature_v7,12m_1_16,"0,1"
feature_v7,12m_3_18,"0,1"
feature_v7,24m_1_16,"0,1"
feature_v7,24m_3_18,"0,1"
feature_v7,3m_1_16,"0,1"
feature_v7,3m_1_21,"0,1"
feature_v7,3m_1_26,"0,1"
feature_v7,3m_1_31,"0,1"
feature_v7,3m_3_18,"0,1"
feature_v7,3m_3_23,"0,1"
feature_v7,3m_3_28,"0,1"
feature_v7,3m_3_33,"0,1"
feature_v7,6m_1_16,"0,1"
feature_v7,6m_3_18,"0,1"
feature_v8,12m_1_16,"0,1"
feature_v8,12m_3_18,"0,1"
feature_v8,24m_1_16,"0,1"
feature_v8,24m_3_18,"0,1"
feature_v8,3m_1_16,"0,1"
feature_v8,3m_1_21,"0,1"
feature_v8,3m_1_26,"0,1"
feature_v8,3m_1_31,"0,1"
feature_v8,3m_3_18,"0,1"
feature_v8,3m_3_23,"0,1"
feature_v8,3m_3_28,"0,1"
feature_v8,3m_3_33,"0,1"
feature_v8,6m_1_16,"0,1"
feature_v8,6m_3_18,"0,1"
feature_v9,12m_1_16,"0,1"
feature_v9,12m_3_18,"0,1"
feature_v9,24m_1_16,"0,1"
feature_v9,24m_3_18,"0,1"
feature_v9,3m_1_16,"0,1"
feature_v9,3m_1_21,"0,1"
feature_v9,3m_1_26,"0,1"
feature_v9,3m_1_31,"0,1"
feature_v9,3m_3_18,"0,1"
feature_v9,3m_3_23,"0,1"
feature_v9,3m_3_28,"0,1"
feature_v9,3m_3_33,"0,1"
feature_v9,6m_1_16,"0,1"
feature_v9,6m_3_18,"0,1"
